Title,Artist,Album,Year,Priority,Style,Notes
Dirty Weapons,Killer Dwarfs,Dirty Weapons,1990,Hit,Glam Metal,
Doesn't Matter,Killer Dwarfs,Dirty Weapons,1990,Deep,Glam Metal,
Last Laugh,Killer Dwarfs,Dirty Weapons,1990,Deep,Glam Metal,
Inside Out,XYZ,XYZ,1989,Hit,Glam Metal,
What Keeps Me Loving You,XYZ,XYZ,1989,Ballad,Power Ballad,
Maggy,XYZ,XYZ,1989,Deep,Glam Metal,
Souvenirs,XYZ,XYZ,1989,Deep,Glam Metal,
I Wanna Be Loved,House of Lords,House of Lords,1988,Hit,AOR,
Love Don't Lie,House of Lords,House of Lords,1988,Ballad,Power Ballad,
Pleasure Palace,House of Lords,House of Lords,1988,Deep,AOR,
Slip of the Tongue,House of Lords,House of Lords,1988,Deep,AOR,
Call to the Heart,Giuffria,Giuffria,1984,Hit,AOR,
Lonely in Love,Giuffria,Giuffria,1984,Deep,AOR,
Do Me Right,Giuffria,Giuffria,1984,Deep,AOR,
Don't Stop Runnin',Y&T,In Rock We Trust,1984,Hit,Hard Rock,
Lipstick and Leather,Y&T,In Rock We Trust,1984,Deep,Hard Rock,
Masters and Slaves,Y&T,In Rock We Trust,1984,Deep,Hard Rock,
Contagious,Y&T,Contagious,1987,Hit,Hard Rock,
Temptation,Y&T,Contagious,1987,Deep,Hard Rock,
Eyes of a Stranger,Y&T,Contagious,1987,Deep,Hard Rock,
The Right to Rock,Keel,The Right to Rock,1985,Hit,Metal,
Easier Said Than Done,Keel,The Right to Rock,1985,Deep,Metal,
Speed Demon,Keel,The Right to Rock,1985,Deep,Metal,
Because the Night,Keel,The Final Frontier,1986,Hit,Metal,
Tears of Fire,Keel,The Final Frontier,1986,Ballad,Power Ballad,
Rock and Roll Animal,Keel,The Final Frontier,1986,Deep,Metal,
Hold On to 18,Black 'N Blue,Black 'N Blue,1984,Hit,Glam Metal,
School of Hard Knocks,Black 'N Blue,Black 'N Blue,1984,Deep,Glam Metal,
I'm the King,Black 'N Blue,Black 'N Blue,1984,Deep,Glam Metal,
Miss Mystery,Black 'N Blue,Without Love,1985,Hit,Glam Metal,
Without Love,Black 'N Blue,Without Love,1985,Ballad,Power Ballad,
Nature of the Beach,Black 'N Blue,Without Love,1985,Deep,Glam Metal,
Screaming in the Night,Krokus,Headhunter,1983,Hit,Hard Rock,
Headhunter,Krokus,Headhunter,1983,Deep,Hard Rock,
Eat the Rich,Krokus,Headhunter,1983,Deep,Hard Rock,
Midnite Maniac,Krokus,The Blitz,1984,Hit,Hard Rock,
Ballroom Blitz,Krokus,The Blitz,1984,Hit,Hard Rock,
Out of Control,Krokus,The Blitz,1984,Deep,Hard Rock,
Balls to the Wall,Accept,Balls to the Wall,1983,Hit,Metal,
London Leatherboys,Accept,Balls to the Wall,1983,Deep,Metal,
Head Over Heels,Accept,Balls to the Wall,1983,Deep,Metal,
Metal Heart,Accept,Metal Heart,1985,Hit,Metal,
Midnight Mover,Accept,Metal Heart,1985,Hit,Metal,
Screaming for a Love-Bite,Accept,Metal Heart,1985,Deep,Metal,
Breaking the Law,Judas Priest,British Steel,1980,Hit,Metal,
Living After Midnight,Judas Priest,British Steel,1980,Hit,Metal,
Metal Gods,Judas Priest,British Steel,1980,Deep,Metal,
Rapid Fire,Judas Priest,British Steel,1980,Deep,Metal,
You've Got Another Thing Comin',Judas Priest,Screaming for Vengeance,1982,Hit,Metal,
Electric Eye,Judas Priest,Screaming for Vengeance,1982,Hit,Metal,
Riding on the Wind,Judas Priest,Screaming for Vengeance,1982,Deep,Metal,
Turbo Lover,Judas Priest,Turbo,1986,Hit,Metal,
Locked In,Judas Priest,Turbo,1986,Hit,Metal,
Out in the Cold,Judas Priest,Turbo,1986,Deep,Metal,
Painkiller,Judas Priest,Painkiller,1990,Hit,Metal,
A Touch of Evil,Judas Priest,Painkiller,1990,Hit,Metal,
Night Crawler,Judas Priest,Painkiller,1990,Deep,Metal,
Run to the Hills,Iron Maiden,The Number of the Beast,1982,Hit,Metal,
The Number of the Beast,Iron Maiden,The Number of the Beast,1982,Hit,Metal,
Hallowed Be Thy Name,Iron Maiden,The Number of the Beast,1982,Deep,Metal,
The Trooper,Iron Maiden,Piece of Mind,1983,Hit,Metal,
Flight of Icarus,Iron Maiden,Piece of Mind,1983,Hit,Metal,
Revelations,Iron Maiden,Piece of Mind,1983,Deep,Metal,
Aces High,Iron Maiden,Powerslave,1984,Hit,Metal,
2 Minutes to Midnight,Iron Maiden,Powerslave,1984,Hit,Metal,
Powerslave,Iron Maiden,Powerslave,1984,Deep,Metal,
Wasted Years,Iron Maiden,Somewhere in Time,1986,Hit,Metal,
Stranger in a Strange Land,Iron Maiden,Somewhere in Time,1986,Hit,Metal,
Caught Somewhere in Time,Iron Maiden,Somewhere in Time,1986,Deep,Metal,
Can I Play with Madness,Iron Maiden,Seventh Son of a Seventh Son,1988,Hit,Metal,
The Evil That Men Do,Iron Maiden,Seventh Son of a Seventh Son,1988,Hit,Metal,
Infinite Dreams,Iron Maiden,Seventh Son of a Seventh Son,1988,Deep,Metal,
Holy Diver,Dio,Holy Diver,1983,Hit,Metal,
Rainbow in the Dark,Dio,Holy Diver,1983,Hit,Metal,
Stand Up and Shout,Dio,Holy Diver,1983,Hit,Metal,
Don't Talk to Strangers,Dio,Holy Diver,1983,Deep,Metal,
The Last in Line,Dio,The Last in Line,1984,Hit,Metal,
We Rock,Dio,The Last in Line,1984,Hit,Metal,
Mystery,Dio,The Last in Line,1984,Deep,Metal,
I Could Have Been a Dreamer,Dio,Dream Evil,1987,Hit,Metal,
Dream Evil,Dio,Dream Evil,1987,Deep,Metal,
All the Fools Sailed Away,Dio,Dream Evil,1987,Ballad,Power Ballad,
Crazy Train,Ozzy Osbourne,Blizzard of Ozz,1980,Hit,Metal,
Mr. Crowley,Ozzy Osbourne,Blizzard of Ozz,1980,Hit,Metal,
I Don't Know,Ozzy Osbourne,Blizzard of Ozz,1980,Deep,Metal,
Suicide Solution,Ozzy Osbourne,Blizzard of Ozz,1980,Deep,Metal,
Flying High Again,Ozzy Osbourne,Diary of a Madman,1981,Hit,Metal,
Over the Mountain,Ozzy Osbourne,Diary of a Madman,1981,Hit,Metal,
Diary of a Madman,Ozzy Osbourne,Diary of a Madman,1981,Deep,Metal,
Bark at the Moon,Ozzy Osbourne,Bark at the Moon,1983,Hit,Metal,
Rock 'n' Roll Rebel,Ozzy Osbourne,Bark at the Moon,1983,Deep,Metal,
Centre of Eternity,Ozzy Osbourne,Bark at the Moon,1983,Deep,Metal,
Shot in the Dark,Ozzy Osbourne,The Ultimate Sin,1986,Hit,Metal,
The Ultimate Sin,Ozzy Osbourne,The Ultimate Sin,1986,Hit,Metal,
Killer of Giants,Ozzy Osbourne,The Ultimate Sin,1986,Deep,Metal,
No More Tears,Ozzy Osbourne,No More Tears,1991,Hit,Metal,
"Mama, I'm Coming Home",Ozzy Osbourne,No More Tears,1991,Ballad,Power Ballad,
I Don't Want to Change the World,Ozzy Osbourne,No More Tears,1991,Hit,Metal,
Runnin' with the Devil,Van Halen,Van Halen,1978,Hit,Hard Rock,
Eruption,Van Halen,Van Halen,1978,Hit,Instrumental,
You Really Got Me,Van Halen,Van Halen,1978,Hit,Hard Rock,
Ain't Talkin' 'Bout Love,Van Halen,Van Halen,1978,Hit,Hard Rock,
Jump,Van Halen,1984,1984,Hit,Arena Rock,
Panama,Van Halen,1984,1984,Hit,Arena Rock,
Hot for Teacher,Van Halen,1984,1984,Hit,Arena Rock,
I'll Wait,Van Halen,1984,1984,Hit,Arena Rock,
Drop Dead Legs,Van Halen,1984,1984,Deep,Arena Rock,
Why Can't This Be Love,Van Halen,5150,1986,Hit,Arena Rock,
Dreams,Van Halen,5150,1986,Hit,Arena Rock,
Best of Both Worlds,Van Halen,5150,1986,Hit,Arena Rock,
Love Walks In,Van Halen,5150,1986,Ballad,Power Ballad,
Finish What Ya Started,Van Halen,OU812,1988,Hit,Arena Rock,
When It's Love,Van Halen,OU812,1988,Ballad,Power Ballad,
Black and Blue,Van Halen,OU812,1988,Hit,Arena Rock,
Dude (Looks Like a Lady),Aerosmith,Permanent Vacation,1987,Hit,Hard Rock,
Rag Doll,Aerosmith,Permanent Vacation,1987,Hit,Hard Rock,
Angel,Aerosmith,Permanent Vacation,1987,Ballad,Power Ballad,
Hangman Jury,Aerosmith,Permanent Vacation,1987,Deep,Hard Rock,
Love in an Elevator,Aerosmith,Pump,1989,Hit,Hard Rock,
Janie's Got a Gun,Aerosmith,Pump,1989,Hit,Hard Rock,
What It Takes,Aerosmith,Pump,1989,Ballad,Power Ballad,
The Other Side,Aerosmith,Pump,1989,Hit,Hard Rock,
F.I.N.E.,Aerosmith,Pump,1989,Deep,Hard Rock,
I Don't Believe in Love,Queensrÿche,Operation: Mindcrime,1988,Hit,Progressive Metal,
Eyes of a Stranger,Queensrÿche,Operation: Mindcrime,1988,Hit,Progressive Metal,
Revolution Calling,Queensrÿche,Operation: Mindcrime,1988,Deep,Progressive Metal,
Breaking the Silence,Queensrÿche,Operation: Mindcrime,1988,Deep,Progressive Metal,
Jet City Woman,Queensrÿche,Empire,1990,Hit,Progressive Metal,
Silent Lucidity,Queensrÿche,Empire,1990,Ballad,Power Ballad,
Empire,Queensrÿche,Empire,1990,Hit,Progressive Metal,
Best I Can,Queensrÿche,Empire,1990,Deep,Progressive Metal,
The Final Countdown,Europe,The Final Countdown,1986,Hit,Glam Metal,
Rock the Night,Europe,The Final Countdown,1986,Hit,Glam Metal,
Carrie,Europe,The Final Countdown,1986,Ballad,Power Ballad,
Cherokee,Europe,The Final Countdown,1986,Deep,Glam Metal,
Superstitious,Europe,Out of This World,1988,Hit,Glam Metal,
Open Your Heart,Europe,Out of This World,1988,Ballad,Power Ballad,
Let the Good Times Rock,Europe,Out of This World,1988,Deep,Glam Metal,
Fantasy,Aldo Nova,Aldo Nova,1982,Hit,Hard Rock,
Foolin' Yourself,Aldo Nova,Aldo Nova,1982,Deep,Hard Rock,
Ball and Chain,Aldo Nova,Aldo Nova,1982,Deep,Hard Rock,
There's Only One Way to Rock,Sammy Hagar,Standing Hampton,1981,Hit,Hard Rock,
I'll Fall in Love Again,Sammy Hagar,Standing Hampton,1981,Hit,Hard Rock,
Baby's on Fire,Sammy Hagar,Standing Hampton,1981,Deep,Hard Rock,
I Can't Drive 55,Sammy Hagar,VOA,1984,Hit,Hard Rock,
Rock Is in My Blood,Sammy Hagar,VOA,1984,Deep,Hard Rock,
Two Sides of Love,Sammy Hagar,VOA,1984,Deep,Hard Rock,
Yankee Rose,David Lee Roth,Eat 'Em and Smile,1986,Hit,Hard Rock,
Goin' Crazy!,David Lee Roth,Eat 'Em and Smile,1986,Hit,Hard Rock,
Tobacco Road,David Lee Roth,Eat 'Em and Smile,1986,Deep,Hard Rock,
Just Like Paradise,David Lee Roth,Skyscraper,1988,Hit,Hard Rock,
Stand Up,David Lee Roth,Skyscraper,1988,Deep,Hard Rock,
Damn Good,David Lee Roth,Skyscraper,1988,Ballad,Power Ballad,
Poison,Alice Cooper,Trash,1989,Hit,Hard Rock,
Bed of Nails,Alice Cooper,Trash,1989,Hit,Hard Rock,
House of Fire,Alice Cooper,Trash,1989,Deep,Hard Rock,
Only My Heart Talkin',Alice Cooper,Trash,1989,Ballad,Power Ballad,
Hey Stoopid,Alice Cooper,Hey Stoopid,1991,Hit,Hard Rock,
Feed My Frankenstein,Alice Cooper,Hey Stoopid,1991,Hit,Hard Rock,
Love's a Loaded Gun,Alice Cooper,Hey Stoopid,1991,Deep,Hard Rock,
Lick It Up,Kiss,Lick It Up,1983,Hit,Hard Rock,
All Hell's Breakin' Loose,Kiss,Lick It Up,1983,Hit,Hard Rock,
A Million to One,Kiss,Lick It Up,1983,Deep,Hard Rock,
Heaven's on Fire,Kiss,Animalize,1984,Hit,Hard Rock,
Thrills in the Night,Kiss,Animalize,1984,Deep,Hard Rock,
Under the Gun,Kiss,Animalize,1984,Deep,Hard Rock,
Crazy Crazy Nights,Kiss,Crazy Nights,1987,Hit,Hard Rock,
Reason to Live,Kiss,Crazy Nights,1987,Ballad,Power Ballad,
Turn on the Night,Kiss,Crazy Nights,1987,Hit,Hard Rock,
Forever,Kiss,Hot in the Shade,1989,Ballad,Power Ballad,
Hide Your Heart,Kiss,Hot in the Shade,1989,Hit,Hard Rock,
Rise to It,Kiss,Hot in the Shade,1989,Deep,Hard Rock,
